序号,传输方向,第几路CAN,时间标识,增量时间,帧 ID,帧类型,帧格式,数据长度,数据,
44,接收,0,13:53:10.516.212 ,01:10:40.633.171 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
45,接收,0,13:53:10.516.788 ,00:00:00.000.576 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
46,接收,0,13:53:10.517.376 ,00:00:00.000.588 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
47,接收,0,13:53:10.517.948 ,00:00:00.000.572 ,0x18ECFF00,数据帧,扩展帧,08,20 1a 00 04 ff ca fe 00 ,
48,接收,0,13:53:10.518.521 ,00:00:00.000.573 ,0x18F00029,数据帧,扩展帧,08,c0 7d ff ff ff ff ff 75 ,
49,接收,0,13:53:10.519.097 ,00:00:00.000.576 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
50,接收,0,13:53:10.519.685 ,00:00:00.000.588 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
51,接收,0,13:53:10.520.265 ,00:00:00.000.580 ,0x18FEF600,数据帧,扩展帧,08,ff 2e 41 ff ff ff ff ff ,
52,接收,0,13:53:10.520.845 ,00:00:00.000.580 ,0x18FEF700,数据帧,扩展帧,08,ff ff ff ff c5 01 ff ff ,
53,接收,0,13:53:10.521.425 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
54,接收,0,13:53:10.522.014 ,00:00:00.000.589 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
55,接收,0,13:53:10.523.034 ,00:00:00.001.020 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
56,接收,0,13:53:10.524.786 ,00:00:00.001.752 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
57,接收,0,13:53:10.526.774 ,00:00:00.001.988 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
58,接收,0,13:53:10.527.354 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
59,接收,0,13:53:10.528.778 ,00:00:00.001.424 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
60,接收,0,13:53:10.532.959 ,00:00:00.004.181 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
61,接收,0,13:53:10.534.939 ,00:00:00.001.980 ,0x18FEA600,数据帧,扩展帧,08,e0 02 ff ff ff ff ff ff ,
62,接收,0,13:53:10.536.767 ,00:00:00.001.828 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
63,接收,0,13:53:10.538.776 ,00:00:00.002.009 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
64,接收,0,13:53:10.539.356 ,00:00:00.000.580 ,0x18FFA200,数据帧,扩展帧,08,ff f1 05 ff ff 00 ff ff ,
65,接收,0,13:53:10.540.800 ,00:00:00.001.444 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
66,接收,0,13:53:10.544.789 ,00:00:00.003.989 ,0x18FEDF00,数据帧,扩展帧,08,7d e0 15 ff 7d 00 00 ff ,
67,接收,0,13:53:10.546.776 ,00:00:00.001.987 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
68,接收,0,13:53:10.548.777 ,00:00:00.002.001 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
69,接收,0,13:53:10.549.365 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
70,接收,0,13:53:10.550.933 ,00:00:00.001.568 ,0x18EBFF00,数据帧,扩展帧,08,01 45 ff 13 01 03 01 73 ,
71,接收,0,13:53:10.556.766 ,00:00:00.005.833 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
72,接收,0,13:53:10.557.354 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
73,接收,0,13:53:10.558.774 ,00:00:00.001.420 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
74,接收,0,13:53:10.564.867 ,00:00:00.006.093 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
75,接收,0,13:53:10.566.775 ,00:00:00.001.908 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
76,接收,0,13:53:10.568.783 ,00:00:00.002.008 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
77,接收,0,13:53:10.572.880 ,00:00:00.004.097 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
78,接收,0,13:53:10.574.932 ,00:00:00.002.052 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
79,接收,0,13:53:10.576.772 ,00:00:00.001.840 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
80,接收,0,13:53:10.577.352 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
81,接收,0,13:53:10.578.776 ,00:00:00.001.424 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
82,接收,0,13:53:10.580.905 ,00:00:00.002.129 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
83,接收,0,13:53:10.586.777 ,00:00:00.005.872 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
84,接收,0,13:53:10.588.777 ,00:00:00.002.000 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
85,接收,0,13:53:10.589.366 ,00:00:00.000.589 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
86,接收,0,13:53:10.596.766 ,00:00:00.007.400 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
87,接收,0,13:53:10.597.354 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
88,接收,0,13:53:10.598.778 ,00:00:00.001.424 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
89,接收,0,13:53:10.599.350 ,00:00:00.000.572 ,0x18F00029,数据帧,扩展帧,08,c0 7d ff ff ff ff ff 75 ,
90,接收,0,13:53:10.603.023 ,00:00:00.003.673 ,0x18EBFF00,数据帧,扩展帧,08,02 00 03 01 93 01 03 01 ,
91,接收,0,13:53:10.604.791 ,00:00:00.001.768 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
92,接收,0,13:53:10.606.783 ,00:00:00.001.992 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
93,接收,0,13:53:10.608.784 ,00:00:00.002.001 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
94,接收,0,13:53:10.612.960 ,00:00:00.004.176 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
95,接收,0,13:53:10.616.772 ,00:00:00.003.812 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
96,接收,0,13:53:10.618.780 ,00:00:00.002.008 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
97,接收,0,13:53:10.620.805 ,00:00:00.002.025 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
98,接收,0,13:53:10.623.041 ,00:00:00.002.236 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
99,接收,0,13:53:10.626.781 ,00:00:00.003.740 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
100,接收,0,13:53:10.627.361 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
101,接收,0,13:53:10.628.781 ,00:00:00.001.420 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
102,接收,0,13:53:10.629.369 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
103,接收,0,13:53:10.634.942 ,00:00:00.005.573 ,0x18FEF600,数据帧,扩展帧,08,ff 2e 41 ff ff ff ff ff ,
