序号,传输方向,第几路CAN,时间标识,增量时间,帧 ID,帧类型,帧格式,数据长度,数据,
44,接收,0,11:40:51.730.168 ,00:00:00.007.404 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
45,接收,0,11:40:51.730.756 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
46,接收,0,11:40:51.732.176 ,00:00:00.001.420 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
47,接收,0,11:40:51.732.748 ,00:00:00.000.572 ,0x18F00029,数据帧,扩展帧,08,c0 7d ff ff ff ff ff 75 ,
48,接收,0,11:40:51.735.512 ,00:00:00.002.764 ,0x18FFA081,数据帧,扩展帧,08,4d 8a 00 53 62 62 53 00 ,
49,接收,0,11:40:51.738.268 ,00:00:00.002.756 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
50,接收,0,11:40:51.740.180 ,00:00:00.001.912 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
51,接收,0,11:40:51.742.184 ,00:00:00.002.004 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
52,接收,0,11:40:51.746.284 ,00:00:00.004.100 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
53,接收,0,11:40:51.750.173 ,00:00:00.003.889 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
54,接收,0,11:40:51.752.177 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
55,接收,0,11:40:51.754.285 ,00:00:00.002.108 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
56,接收,0,11:40:51.756.441 ,00:00:00.002.156 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
57,接收,0,11:40:51.760.182 ,00:00:00.003.741 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
58,接收,0,11:40:51.760.762 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
59,接收,0,11:40:51.762.182 ,00:00:00.001.420 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
60,接收,0,11:40:51.762.770 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
61,接收,0,11:40:51.768.342 ,00:00:00.005.572 ,0x18FEF600,数据帧,扩展帧,08,ff 2e 41 ff ff ff ff ff ,
62,接收,0,11:40:51.770.170 ,00:00:00.001.828 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
63,接收,0,11:40:51.770.758 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
64,接收,0,11:40:51.772.182 ,00:00:00.001.424 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
65,接收,0,11:40:51.772.762 ,00:00:00.000.580 ,0x18FFA200,数据帧,扩展帧,08,ff f5 05 ff ff 00 ff ff ,
66,接收,0,11:40:51.778.174 ,00:00:00.005.412 ,0x18FEED00,数据帧,扩展帧,08,b4 78 0a ff ff ff ff ff ,
67,接收,0,11:40:51.778.762 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
68,接收,0,11:40:51.780.182 ,00:00:00.001.420 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
69,接收,0,11:40:51.782.186 ,00:00:00.002.004 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
70,接收,0,11:40:51.786.361 ,00:00:00.004.175 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
71,接收,0,11:40:51.790.178 ,00:00:00.003.817 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
72,接收,0,11:40:51.792.182 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
73,接收,0,11:40:51.794.206 ,00:00:00.002.024 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
74,接收,0,11:40:51.800.182 ,00:00:00.005.976 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
75,接收,0,11:40:51.802.182 ,00:00:00.002.000 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
76,接收,0,11:40:51.802.770 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
77,接收,0,11:40:51.808.338 ,00:00:00.005.568 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
78,接收,0,11:40:51.810.174 ,00:00:00.001.836 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
79,接收,0,11:40:51.810.754 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
