序号,传输方向,第几路CAN,时间标识,增量时间,帧 ID,帧类型,帧格式,数据长度,数据,
504,接收,0,14:33:21.990.740 ,00:00:00.001.428 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
505,接收,0,14:33:21.994.908 ,00:00:00.004.168 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
506,接收,0,14:33:21.996.880 ,00:00:00.001.972 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
507,接收,0,14:33:21.998.728 ,00:00:00.001.848 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
508,接收,0,14:33:21.999.308 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
509,接收,0,14:33:22.000.735 ,00:00:00.001.427 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
510,接收,0,14:33:22.002.783 ,00:00:00.002.048 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
511,接收,0,14:33:22.008.735 ,00:00:00.005.952 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
512,接收,0,14:33:22.010.735 ,00:00:00.002.000 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
513,接收,0,14:33:22.011.323 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
514,接收,0,14:33:22.018.724 ,00:00:00.007.401 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
515,接收,0,14:33:22.019.311 ,00:00:00.000.587 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
516,接收,0,14:33:22.020.735 ,00:00:00.001.424 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
517,接收,0,14:33:22.021.307 ,00:00:00.000.572 ,0x18F00029,数据帧,扩展帧,08,c0 7d ff ff ff ff ff 75 ,
518,接收,0,14:33:22.026.819 ,00:00:00.005.512 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
519,接收,0,14:33:22.028.739 ,00:00:00.001.920 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
520,接收,0,14:33:22.030.743 ,00:00:00.002.004 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
521,接收,0,14:33:22.034.843 ,00:00:00.004.100 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
522,接收,0,14:33:22.038.731 ,00:00:00.003.888 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
523,接收,0,14:33:22.040.739 ,00:00:00.002.008 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
524,接收,0,14:33:22.041.323 ,00:00:00.000.584 ,0x18EBFF00,数据帧,扩展帧,08,04 00 00 00 00 00 7d 7d ,
525,接收,0,14:33:22.042.834 ,00:00:00.001.511 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
526,接收,0,14:33:22.044.990 ,00:00:00.002.156 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
527,接收,0,14:33:22.048.738 ,00:00:00.003.748 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
528,接收,0,14:33:22.049.318 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
529,接收,0,14:33:22.050.738 ,00:00:00.001.420 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
530,接收,0,14:33:22.051.326 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
531,接收,0,14:33:22.056.890 ,00:00:00.005.564 ,0x18FEA600,数据帧,扩展帧,08,e0 02 ff ff ff ff ff ff ,
532,接收,0,14:33:22.058.726 ,00:00:00.001.836 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
533,接收,0,14:33:22.059.314 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
534,接收,0,14:33:22.060.738 ,00:00:00.001.424 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
535,接收,0,14:33:22.061.317 ,00:00:00.000.579 ,0x18FFA200,数据帧,扩展帧,08,ff f1 00 ff ff 00 ff ff ,
536,接收,0,14:33:22.066.746 ,00:00:00.005.429 ,0x18FEDF00,数据帧,扩展帧,08,7d 20 1c ff 7d 00 00 ff ,
537,接收,0,14:33:22.067.334 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
538,接收,0,14:33:22.068.738 ,00:00:00.001.404 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
539,接收,0,14:33:22.069.322 ,00:00:00.000.584 ,0x18FEE400,数据帧,扩展帧,08,ff ff ff ff ff ff ff ff ,
540,接收,0,14:33:22.070.745 ,00:00:00.001.423 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
541,接收,0,14:33:22.074.913 ,00:00:00.004.168 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
542,接收,0,14:33:22.078.733 ,00:00:00.003.820 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
543,接收,0,14:33:22.080.737 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
