序号,传输方向,第几路CAN,时间标识,增量时间,帧 ID,帧类型,帧格式,数据长度,数据,
44,接收,0,14:18:34.046.808 ,00:00:00.001.796 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
45,接收,0,14:18:34.047.392 ,00:00:00.000.584 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
46,接收,0,14:18:34.048.808 ,00:00:00.001.416 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
47,接收,0,14:18:34.050.856 ,00:00:00.002.048 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
48,接收,0,14:18:34.056.804 ,00:00:00.005.948 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
49,接收,0,14:18:34.058.808 ,00:00:00.002.004 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
50,接收,0,14:18:34.059.396 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
51,接收,0,14:18:34.064.828 ,00:00:00.005.432 ,0x18FEDF00,数据帧,扩展帧,08,7d e0 15 ff 7d 00 00 ff ,
52,接收,0,14:18:34.066.796 ,00:00:00.001.968 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
53,接收,0,14:18:34.067.384 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
54,接收,0,14:18:34.068.807 ,00:00:00.001.423 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
55,接收,0,14:18:34.069.379 ,00:00:00.000.572 ,0x18F00029,数据帧,扩展帧,08,c0 7d ff ff ff ff ff 75 ,
56,接收,0,14:18:34.074.891 ,00:00:00.005.512 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
57,接收,0,14:18:34.076.812 ,00:00:00.001.921 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
58,接收,0,14:18:34.078.815 ,00:00:00.002.003 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
59,接收,0,14:18:34.082.919 ,00:00:00.004.104 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
60,接收,0,14:18:34.086.807 ,00:00:00.003.888 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
61,接收,0,14:18:34.088.811 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
62,接收,0,14:18:34.090.907 ,00:00:00.002.096 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
63,接收,0,14:18:34.093.035 ,00:00:00.002.128 ,0x18ECFF00,数据帧,扩展帧,08,20 22 00 05 ff e3 fe 00 ,
